nrClients,clientIndex,rep,threads,concurrency,avg,std,tps
1,0,1,1,1,576,362.91,1727
1,0,2,1,1,581,379.29,1711
1,0,3,1,1,566,359.25,1755
1,0,4,1,1,585,379.66,1700
1,0,5,1,1,581,376.66,1711
1,0,1,1,11,776,437.41,14136
1,0,2,1,11,772,437.68,14216
1,0,3,1,11,770,442.91,14254
1,0,4,1,11,805,435.11,13635
1,0,5,1,11,778,418.83,14103
1,0,1,1,21,1169,1469.28,17906
1,0,2,1,21,1180,1520.43,17724
1,0,3,1,21,1163,1508.38,18003
1,0,4,1,21,1130,1482.46,18522
1,0,5,1,21,1145,1440.14,18274
1,0,1,1,31,1553,2064.32,19911
1,0,2,1,31,1576,2063.47,19608
1,0,3,1,31,1573,2069.7,19643
1,0,4,1,31,1541,2030.4,20058
1,0,5,1,31,1547,2059.74,19974
1,0,1,1,41,1809,2285.52,22604
1,0,2,1,41,1841,2417.78,22210
1,0,3,1,41,1830,2327.35,22351
1,0,4,1,41,1859,2334.7,21994
1,0,5,1,41,1794,2299.91,22794
1,0,1,1,51,2058,2506.82,24724
1,0,2,1,51,2142,2837.48,23756
1,0,3,1,51,2106,2555.78,24165
1,0,4,1,51,2090,2569.81,24352
1,0,5,1,51,2107,2540.37,24154
1,0,1,1,61,2363,2726.04,25762
1,0,2,1,61,2383,2920.37,25553
1,0,3,1,61,2358,2780.87,25825
1,0,4,1,61,2397,2761.81,25404
1,0,5,1,61,2425,2803.47,25097
1,0,1,1,71,2660,2906.7,26647
1,0,2,1,71,2716,2915.38,26096
1,0,3,1,71,2720,2884.59,26060
1,0,4,1,71,2689,2909.46,26359
1,0,5,1,71,2707,2934.13,26187
1,0,1,1,81,2952,3026.73,27397
1,0,2,1,81,2978,3160.36,27153
1,0,3,1,81,3023,3025.16,26760
1,0,4,1,81,2937,3084.39,27548
1,0,5,1,81,2950,3092.74,27414
1,0,1,1,91,3263,3149.03,27849
1,0,2,1,91,3263,3153.53,27846
1,0,3,1,91,3252,3152.51,27954
1,0,4,1,91,3274,3173.45,27754
1,0,5,1,91,3225,3150.11,28178
1,0,1,1,101,3633,3428.12,27770
1,0,2,1,101,3563,3299.05,28315
1,0,3,1,101,3578,3282.72,28192
1,0,4,1,101,3638,3262.53,27728
1,0,5,1,101,3625,3263.9,27833
1,0,1,1,111,3872,3332.99,28637
1,0,2,1,111,3874,3365.32,28623
1,0,3,1,111,3915,3389.54,28322
1,0,4,1,111,3921,3398.09,28277
1,0,5,1,111,3927,3353.31,28230
1,0,1,1,121,4228,3416.22,28589
1,0,2,1,121,4208,3431.94,28723
1,0,3,1,121,4248,3418.19,28454
1,0,4,1,121,4181,3445.35,28902
1,0,5,1,121,4250,3444.72,28440
1,0,1,1,128,4427,3466.13,28891
1,0,2,1,128,4372,3433.58,29251
1,0,3,1,128,4419,3561.9,28946
1,0,4,1,128,4464,3472.14,28648
1,0,5,1,128,4399,3482.01,29070
2,0,1,1,1,549,352.03,1810
2,1,1,1,1,496,343.51,2004
2,0,2,1,1,501,350.69,1981
2,1,2,1,1,551,397.68,1805
2,0,3,1,1,542,353.66,1834
2,1,3,1,1,518,358.79,1918
2,0,4,1,1,547,359.7,1817
2,1,4,1,1,519,376.51,1915
2,0,5,1,1,555,360.68,1789
2,1,5,1,1,515,352.4,1930
2,0,1,1,6,713,398.07,8391
2,1,1,1,6,704,410.06,8502
2,0,2,1,6,692,412.96,8648
2,1,2,1,6,663,405.94,9019
2,0,3,1,6,664,392.09,9001
2,1,3,1,6,651,386.31,9185
2,0,4,1,6,672,373.21,8894
2,1,4,1,6,667,378.24,8971
2,0,5,1,6,658,389.06,9081
2,1,5,1,6,625,382.19,9572
2,0,1,1,11,890,1001.71,12326
2,1,1,1,11,849,978.44,12924
2,0,2,1,11,904,1049.34,12136
2,1,2,1,11,855,1022.8,12840
2,0,3,1,11,895,985.38,12261
2,1,3,1,11,844,960.69,13008
2,0,4,1,11,900,1016.81,12199
2,1,4,1,11,839,985.48,13085
2,0,5,1,11,932,1149.41,11780
2,1,5,1,11,867,1119.25,12653
2,0,1,1,16,1296,1713.54,12323
2,1,1,1,16,1221,1668.29,13079
2,0,2,1,16,1317,1745.6,12132
2,1,2,1,16,1231,1706.46,12978
2,0,3,1,16,1280,1727.2,12477
2,1,3,1,16,1224,1707.26,13048
2,0,4,1,16,1327,1870.9,12036
2,1,4,1,16,1273,1841.19,12547
2,0,5,1,16,1332,1842.34,11990
2,1,5,1,16,1261,1814.72,12667
2,0,1,1,21,1541,2029.48,13603
2,1,1,1,21,1469,2005.17,14275
2,0,2,1,21,1540,2327.15,13620
2,1,2,1,21,1446,2309.58,14504
2,0,3,1,21,1564,2094.11,13411
2,1,3,1,21,1499,2070.57,13990
2,0,4,1,21,1510,1964.63,13883
2,1,4,1,21,1449,1950.48,14477
2,0,5,1,21,1548,2123.7,13543
2,1,5,1,21,1452,2082.16,14438
2,0,1,1,26,1798,2487.95,14443
2,1,1,1,26,1702,2442.82,15259
2,0,2,1,26,1746,2228.72,14871
2,1,2,1,26,1683,2206.69,15425
2,0,3,1,26,1795,2286.31,14465
2,1,3,1,26,1698,2245.5,15295
2,0,4,1,26,1755,2182.36,14799
2,1,4,1,26,1683,2165.54,15430
2,0,5,1,26,1734,2187.07,14971
2,1,5,1,26,1678,2182.77,15474
2,0,1,1,31,2034,2747.91,15230
2,1,1,1,31,1912,2679.42,16249
2,0,2,1,31,2005,2468.69,15444
2,1,2,1,31,1894,2431.25,16354
2,0,3,1,31,2038,2713.62,15199
2,1,3,1,31,1925,2691.43,16090
2,0,4,1,31,2015,2459.24,15365
2,1,4,1,31,1941,2430.53,15955
2,0,5,1,31,1997,2433.92,15505
2,1,5,1,31,1921,2411.54,16116
2,0,1,1,36,2242,2769.98,16039
2,1,1,1,36,2135,2724.62,16844
2,0,2,1,36,2184,2637.8,16466
2,1,2,1,36,2096,2594.5,17157
2,0,3,1,36,2254,2717.45,15958
2,1,3,1,36,2162,2681.42,16641
2,0,4,1,36,2213,2559.29,16255
2,1,4,1,36,2143,2545.47,16782
2,0,5,1,36,2149,2462.27,16735
2,1,5,1,36,2090,2454.64,17200
2,0,1,1,41,2456,2733.98,16677
2,1,1,1,41,2337,2686.92,17533
2,0,2,1,41,2430,2675.25,16857
2,1,2,1,41,2332,2648.23,17569
2,0,3,1,41,2440,2760.81,16788
2,1,3,1,41,2319,2726.55,17664
2,0,4,1,41,2440,2607.77,16789
2,1,4,1,41,2356,2586.37,17385
2,0,5,1,41,2369,2681.86,17289
2,1,5,1,41,2317,2670.46,17677
2,0,1,1,46,2644,2769.32,17385
2,1,1,1,46,2573,2753.19,17866
2,0,2,1,46,2621,2672.17,17537
2,1,2,1,46,2522,2662.0,18227
2,0,3,1,46,2616,3055.06,17567
2,1,3,1,46,2548,3012.36,18041
2,0,4,1,46,2619,2825.06,17554
2,1,4,1,46,2555,2812.89,17989
2,0,5,1,46,2682,2859.78,17139
2,1,5,1,46,2595,2840.2,17719
2,0,1,1,51,2954,3027.23,17251
2,1,1,1,51,2811,2986.31,18131
2,0,2,1,51,2840,3199.36,17946
2,1,2,1,51,2753,3210.36,18513
2,0,3,1,51,2865,2970.55,17790
2,1,3,1,51,2751,2948.09,18528
2,0,4,1,51,2879,2902.99,17706
2,1,4,1,51,2767,2877.12,18418
2,0,5,1,51,2855,2954.95,17856
2,1,5,1,51,2759,2924.5,18480
2,0,1,1,56,3148,2998.16,17777
2,1,1,1,56,3034,2958.11,18445
2,0,2,1,56,3127,3205.32,17899
2,1,2,1,56,2995,3180.32,18685
2,0,3,1,56,3121,3092.09,17935
2,1,3,1,56,3027,3067.07,18489
2,0,4,1,56,3075,3043.25,18200
2,1,4,1,56,3010,3030.14,18597
2,0,5,1,56,3111,3104.1,17993
2,1,5,1,56,3003,3069.2,18635
2,0,1,1,61,3330,3123.31,18310
2,1,1,1,61,3209,3089.2,18997
2,0,2,1,61,3309,3095.12,18425
2,1,2,1,61,3216,3078.61,18964
2,0,3,1,61,3257,3039.16,18721
2,1,3,1,61,3164,3019.54,19267
2,0,4,1,61,3212,3038.22,18977
2,1,4,1,61,3178,3045.53,19187
2,0,5,1,61,3269,2984.45,18647
2,1,5,1,61,3166,2974.89,19256
2,0,1,1,64,3462,3107.77,18477
2,1,1,1,64,3323,3080.32,19254
2,0,2,1,64,3363,3787.74,19022
2,1,2,1,64,3268,3763.0,19576
2,0,3,1,64,3415,3337.31,18735
2,1,3,1,64,3306,3306.42,19350
2,0,4,1,64,3440,3067.51,18597
2,1,4,1,64,3327,3048.97,19230
2,0,5,1,64,3479,3216.27,18391
2,1,5,1,64,3377,3181.58,18944
